Delivery_ID,Truck_ID,Delivery_Date,Distance_KM,Was_Delayed,Delay_Hours,Penalty_Fees_USD
D00001,T001,2024-11-24,373,No,0,0
D00002,T001,2024-11-25,809,Yes,7,634
D00003,T001,2023-05-11,1305,No,0,0
D00004,T001,2023-02-23,458,No,0,0
D00005,T001,2023-08-11,1198,No,0,0
D00006,T001,2023-12-09,460,No,0,0
D00007,T001,2023-09-06,1321,Yes,18,4523
D00008,T001,2023-12-31,724,No,0,0
D00009,T001,2024-06-22,1389,No,0,0
D00010,T001,2024-08-22,1067,No,0,0
D00011,T001,2023-10-25,866,No,0,0
D00012,T001,2024-01-23,1326,No,0,0
D00013,T001,2024-07-05,420,No,0,0
D00014,T001,2024-10-14,1001,Yes,6,1229
D00015,T001,2023-03-08,98,Yes,14,2992
D00016,T001,2024-07-26,1485,No,0,0
D00017,T001,2023-05-23,608,No,0,0
D00018,T001,2023-07-27,1189,No,0,0
D00019,T001,2023-07-04,618,No,0,0
D00020,T001,2024-03-08,1174,No,0,0
D00021,T001,2023-04-09,331,No,0,0
D00022,T001,2023-10-26,1200,No,0,0
D00023,T001,2024-10-21,1302,No,0,0
D00024,T001,2024-12-03,1144,No,0,0
D00025,T001,2023-08-27,832,No,0,0
D00026,T001,2024-12-15,490,No,0,0
D00027,T001,2023-08-24,859,Yes,13,4965
D00028,T001,2023-03-15,195,No,0,0
D00029,T001,2023-12-19,758,No,0,0
D00030,T001,2024-09-21,1169,No,0,0
D00031,T001,2023-11-27,958,No,0,0
D00032,T001,2024-02-22,425,No,0,0
D00033,T001,2024-02-22,469,Yes,18,4234
D00034,T001,2024-02-14,246,No,0,0
D00035,T001,2023-01-21,114,No,0,0
D00036,T001,2023-10-27,1441,No,0,0
D00037,T001,2023-07-31,1173,Yes,1,0
D00038,T001,2024-08-02,970,No,0,0
D00039,T001,2023-10-21,139,No,0,0
D00040,T001,2024-01-23,967,No,0,0
D00041,T001,2024-05-13,129,No,0,0
D00042,T001,2023-08-16,70,Yes,4,938
D00043,T001,2024-06-30,1457,Yes,3,196
D00044,T001,2024-08-02,473,No,0,0
D00045,T001,2024-09-23,668,No,0,0
D00046,T001,2024-12-09,445,No,0,0
D00047,T001,2023-11-22,560,No,0,0
D00048,T001,2023-01-09,1105,No,0,0
D00049,T001,2023-10-15,569,No,0,0
D00050,T001,2024-07-12,1395,No,0,0
D00051,T001,2024-06-15,212,No,0,0
D00052,T001,2023-12-01,570,No,0,0
D00053,T001,2024-07-14,1181,No,0,0
D00054,T001,2024-08-02,1122,No,0,0
D00055,T001,2024-03-27,222,No,0,0
D00056,T001,2023-07-27,1110,No,0,0
D00057,T001,2023-07-30,1085,No,0,0
D00058,T001,2024-11-02,981,No,0,0
D00059,T001,2024-10-21,1474,Yes,5,1252
D00060,T001,2023-10-22,1025,No,0,0
D00061,T001,2023-08-28,267,Yes,15,4965
D00062,T001,2024-03-10,127,No,0,0
D00063,T001,2023-12-28,1154,No,0,0
D00064,T001,2023-04-28,794,No,0,0
D00065,T001,2024-08-14,1491,No,0,0
D00066,T001,2023-08-14,796,No,0,0
D00067,T001,2023-10-26,1358,No,0,0
D00068,T001,2023-07-13,154,No,0,0
D00069,T001,2024-06-18,1292,No,0,0
D00070,T001,2023-12-21,1309,No,0,0
D00071,T001,2023-01-14,399,No,0,0
D00072,T001,2023-07-10,427,No,0,0
D00073,T001,2023-04-05,1228,No,0,0
D00074,T001,2023-01-23,1306,No,0,0
D00075,T001,2023-10-28,671,No,0,0
D00076,T001,2024-07-06,984,No,0,0
D00077,T001,2024-09-29,1088,Yes,20,2966
D00078,T001,2024-03-22,748,No,0,0
D00079,T001,2023-05-30,60,Yes,6,1326
D00080,T001,2023-10-12,1168,No,0,0
D00081,T001,2024-06-11,766,No,0,0
D00082,T001,2024-10-31,184,No,0,0
D00083,T001,2023-07-28,862,No,0,0
D00084,T001,2024-04-17,1211,No,0,0
D00085,T001,2023-12-22,1382,Yes,14,1085
D00086,T001,2024-12-24,947,No,0,0
D00087,T001,2024-10-17,1272,No,0,0
D00088,T001,2023-05-22,1180,No,0,0
D00089,T001,2023-04-19,706,No,0,0
D00090,T001,2023-04-17,875,Yes,17,3776
D00091,T001,2024-12-10,395,No,0,0
D00092,T001,2023-08-03,1178,No,0,0
D00093,T001,2024-10-05,222,No,0,0
D00094,T001,2024-03-20,1150,Yes,2,346
D00095,T001,2023-01-20,889,No,0,0
D00096,T001,2024-08-08,1499,No,0,0
D00097,T001,2024-06-23,940,No,0,0
D00098,T001,2023-08-06,191,No,0,0
D00099,T001,2024-05-06,1138,No,0,0
D00100,T001,2024-01-09,502,No,0,0
D00101,T001,2024-01-04,1014,No,0,0
D00102,T001,2023-08-10,1109,No,0,0
D00103,T001,2023-08-14,461,No,0,0
D00104,T001,2024-12-16,1416,Yes,5,704
D00105,T001,2024-11-27,1450,Yes,12,2729
D00106,T001,2024-08-22,1392,No,0,0
D00107,T001,2023-06-13,471,No,0,0
D00108,T001,2023-12-17,730,No,0,0
D00109,T001,2023-05-09,1179,No,0,0
D00110,T001,2024-04-16,449,No,0,0
D00111,T001,2024-03-16,1333,Yes,20,3439
D00112,T001,2024-11-14,446,No,0,0
D00113,T001,2023-05-31,1287,No,0,0
D00114,T001,2024-03-05,560,No,0,0
D00115,T001,2023-04-04,1189,No,0,0
D00116,T001,2024-03-30,1455,No,0,0
D00117,T001,2024-04-08,316,No,0,0
D00118,T001,2024-07-25,1201,No,0,0
D00119,T001,2024-02-18,1079,No,0,0
D00120,T001,2024-08-20,1328,Yes,20,2481
D00121,T001,2023-01-12,315,No,0,0
D00122,T001,2024-12-29,1025,No,0,0
D00123,T001,2023-01-26,807,No,0,0
D00124,T001,2023-11-23,83,No,0,0
D00125,T001,2023-07-14,819,No,0,0
D00126,T001,2023-07-15,1191,No,0,0
D00127,T001,2023-06-01,1454,No,0,0
D00128,T001,2024-04-06,80,No,0,0
D00129,T001,2024-04-24,382,No,0,0
D00130,T001,2024-10-15,661,No,0,0
D00131,T001,2023-08-24,872,No,0,0
D00132,T001,2023-03-14,939,No,0,0
D00133,T001,2023-06-26,596,No,0,0
D00134,T001,2023-05-28,1217,No,0,0
D00135,T001,2024-09-28,968,No,0,0
D00136,T001,2024-08-20,162,No,0,0
D00137,T001,2024-01-15,436,No,0,0
D00138,T001,2024-08-03,107,Yes,10,4261
D00139,T001,2024-03-29,921,No,0,0
D00140,T001,2023-01-09,505,No,0,0
D00141,T001,2024-01-20,327,No,0,0
D00142,T001,2023-03-10,522,Yes,3,164
D00143,T001,2023-09-25,903,No,0,0
D00144,T001,2023-03-06,1130,No,0,0
D00145,T001,2024-08-22,694,No,0,0
D00146,T001,2023-02-24,1235,No,0,0
D00147,T001,2024-09-15,1321,No,0,0
D00148,T001,2023-12-24,584,No,0,0
D00149,T001,2023-12-31,1033,No,0,0
D00150,T001,2023-06-21,61,Yes,17,4347
D00151,T001,2023-05-01,1204,No,0,0
D00152,T001,2024-01-27,175,No,0,0
D00153,T001,2024-04-26,148,Yes,1,0
D00154,T001,2024-06-23,380,No,0,0
D00155,T001,2023-04-17,415,No,0,0
D00156,T001,2023-03-30,352,No,0,0
D00157,T001,2023-09-03,627,No,0,0
D00158,T001,2023-09-28,642,No,0,0
D00159,T001,2024-11-21,1129,No,0,0
D00160,T001,2024-10-31,301,No,0,0
D00161,T001,2023-12-08,992,No,0,0
D00162,T001,2023-04-10,171,No,0,0
D00163,T001,2023-04-02,1199,No,0,0
D00164,T001,2024-05-02,421,No,0,0
D00165,T001,2024-12-03,878,No,0,0
D00166,T001,2023-08-27,170,No,0,0
D00167,T001,2023-12-06,1038,No,0,0
D00168,T001,2023-06-28,1296,No,0,0
D00169,T001,2023-11-04,133,No,0,0
D00170,T001,2023-01-10,764,No,0,0
D00171,T001,2024-10-13,702,No,0,0
D00172,T001,2024-01-31,446,No,0,0
D00173,T001,2024-05-03,622,No,0,0
