Fuel_ID,Truck_ID,Date,Litres_Consumed,Distance_Covered_KM,Fuel_Efficiency_KMPL
F00001,T001,2024-11-16,1984,6110,3.08
F00002,T001,2024-11-26,1404,4323,3.08
F00003,T001,2024-11-02,1628,5015,3.08
F00004,T001,2023-05-22,1515,4666,3.08
F00005,T001,2023-05-05,1638,5046,3.08
F00006,T001,2023-05-04,2096,6457,3.08
F00007,T001,2023-02-27,969,2986,3.08
F00008,T001,2023-02-02,1625,5005,3.08
F00009,T001,2023-02-23,1038,3196,3.08
F00010,T001,2023-08-09,1128,3473,3.08
F00011,T001,2023-08-02,1946,5994,3.08
F00012,T001,2023-08-22,1560,4805,3.08
F00013,T001,2023-08-10,1869,5756,3.08
F00014,T001,2023-12-20,2238,6892,3.08
F00015,T001,2023-12-22,1474,4539,3.08
F00016,T001,2023-12-19,1874,5771,3.08
F00017,T001,2023-12-03,1474,4539,3.08
F00018,T001,2023-09-25,1098,3381,3.08
F00019,T001,2023-09-01,996,3067,3.08
F00020,T001,2023-09-25,1034,3185,3.08
F00021,T001,2024-06-11,2286,7041,3.08
F00022,T001,2024-06-08,1719,5295,3.08
F00023,T001,2024-06-06,1814,5586,3.08
F00024,T001,2024-08-27,1864,5741,3.08
F00025,T001,2024-08-24,2060,6345,3.08
F00026,T001,2024-08-15,1668,5136,3.08
F00027,T001,2024-08-17,2433,7493,3.08
F00028,T001,2023-10-21,1412,4348,3.08
F00029,T001,2023-10-15,1876,5777,3.08
F00030,T001,2023-10-17,1953,6016,3.08
F00031,T001,2023-09-30,1489,4586,3.08
F00032,T001,2023-12-31,1590,4897,3.08
F00033,T001,2024-01-08,1680,5174,3.08
F00034,T001,2023-12-31,1140,3511,3.08
F00035,T001,2024-07-18,1552,4780,3.08
F00036,T001,2024-07-03,2092,6443,3.08
F00037,T001,2024-07-04,1316,4053,3.08
F00038,T001,2024-10-04,2125,6544,3.08
F00039,T001,2024-10-11,1672,5149,3.08
F00040,T001,2024-10-11,1759,5417,3.08
F00041,T001,2023-02-28,1752,5397,3.08
F00042,T001,2023-03-27,1574,4848,3.08
F00043,T001,2023-03-24,1351,4162,3.08
F00044,T001,2023-07-26,1904,5865,3.08
F00045,T001,2023-07-05,2791,8597,3.08
F00046,T001,2023-07-14,1644,5065,3.08
F00047,T001,2024-03-26,1620,4989,3.08
F00048,T001,2024-02-29,1563,4815,3.08
F00049,T001,2024-03-20,1488,4583,3.08
F00050,T001,2023-04-08,1392,4287,3.08
F00051,T001,2023-04-26,1707,5257,3.08
F00052,T001,2023-04-19,1690,5206,3.08
F00053,T001,2024-12-18,2469,7606,3.08
F00054,T001,2024-12-19,2379,7327,3.08
F00055,T001,2024-12-27,2220,6839,3.08
F00056,T001,2024-09-07,1160,3574,3.08
F00057,T001,2024-09-05,1860,5728,3.08
F00058,T001,2024-09-04,1845,5682,3.08
F00059,T001,2023-11-15,1051,3237,3.08
F00060,T001,2023-11-13,1501,4624,3.08
F00061,T001,2023-11-20,1569,4834,3.08
F00062,T001,2024-02-12,1277,3933,3.08
F00063,T001,2024-02-25,1049,3231,3.08
F00064,T001,2024-02-09,1357,4179,3.08
F00065,T001,2023-01-05,1166,3590,3.08
F00066,T001,2023-01-16,1635,5035,3.08
F00067,T001,2023-01-17,1265,3897,3.08
F00068,T001,2023-01-20,1237,3809,3.08
F00069,T001,2024-05-07,1812,5582,3.08
F00070,T001,2024-05-27,1334,4110,3.08
F00071,T001,2024-05-05,1302,4009,3.08
F00072,T001,2024-04-04,946,2914,3.08
F00073,T001,2024-04-25,1106,3406,3.08
F00074,T001,2024-04-15,1706,5253,3.08
F00075,T001,2023-05-31,1354,4170,3.08
F00076,T001,2023-06-13,1462,4504,3.08
F00077,T001,2023-06-18,1706,5255,3.08
F00078,T003,2024-07-25,1047,3005,2.87
F00079,T003,2024-07-05,954,2739,2.87
F00080,T003,2024-07-09,1259,3613,2.87
F00081,T003,2024-10-08,2381,6833,2.87
F00082,T003,2024-10-17,2195,6300,2.87
F00083,T003,2024-10-26,2214,6353,2.87
F00084,T003,2024-03-26,1208,3468,2.87
F00085,T003,2024-02-29,1316,3777,2.87
F00086,T003,2024-03-02,1397,4008,2.87
F00087,T003,2023-07-27,1421,4078,2.87
F00088,T003,2023-07-19,1454,4172,2.87
F00089,T003,2023-07-12,2107,6047,2.87
F00090,T003,2023-10-26,1956,5613,2.87
F00091,T003,2023-10-17,2106,6045,2.87
F00092,T003,2023-10-26,1621,4653,2.87
F00093,T003,2023-12-16,1471,4221,2.87
F00094,T003,2023-12-25,992,2848,2.87
F00095,T003,2023-12-23,1366,3920,2.87
F00096,T003,2024-01-24,2038,5849,2.87
F00097,T003,2024-01-09,1411,4050,2.87
F00098,T003,2024-01-16,2097,6018,2.87
F00099,T003,2024-01-12,1725,4950,2.87
F00100,T003,2023-09-09,1290,3701,2.87
F00101,T003,2023-09-06,1085,3114,2.87
F00102,T003,2023-09-20,757,2174,2.87
F00103,T003,2024-02-09,1453,4169,2.87
F00104,T003,2024-02-19,1776,5096,2.87
F00105,T003,2024-02-02,2066,5929,2.87
F00106,T003,2024-04-25,1395,4004,2.87
F00107,T003,2024-04-11,1183,3394,2.87
F00108,T003,2024-03-31,1023,2936,2.87
F00109,T003,2024-12-19,1373,3940,2.87
F00110,T003,2024-12-16,2300,6601,2.87
F00111,T003,2024-12-24,2086,5987,2.87
F00112,T003,2023-08-14,1866,5354,2.87
F00113,T003,2023-08-01,1646,4724,2.87
F00114,T003,2023-08-07,1829,5249,2.87
F00115,T003,2024-06-10,1433,4112,2.87
F00116,T003,2024-06-01,2159,6196,2.87
F00117,T003,2024-06-21,2238,6422,2.87
F00118,T003,2023-06-22,1612,4627,2.87
F00119,T003,2023-06-12,1506,4321,2.87
F00120,T003,2023-06-19,1718,4932,2.87
F00121,T003,2023-06-11,1141,3274,2.87
F00122,T003,2024-05-16,1481,4251,2.87
F00123,T003,2024-05-22,1963,5633,2.87
F00124,T003,2024-05-03,1629,4676,2.87
F00125,T003,2024-05-26,2074,5951,2.87
F00126,T003,2023-04-20,1302,3737,2.87
F00127,T003,2023-04-13,1346,3862,2.87
F00128,T003,2023-04-16,868,2491,2.87
F00129,T003,2024-11-11,1794,5149,2.87
F00130,T003,2024-11-15,1231,3534,2.87
F00131,T003,2024-11-26,1513,4341,2.87
F00132,T003,2023-05-03,1486,4264,2.87
F00133,T003,2023-05-08,1410,4048,2.87
F00134,T003,2023-05-07,1185,3402,2.87
F00135,T003,2023-03-23,2504,7186,2.87
F00136,T003,2023-03-26,1981,5686,2.87
F00137,T003,2023-03-12,1926,5528,2.87
F00138,T003,2024-09-12,1262,3622,2.87
F00139,T003,2024-09-01,1427,4096,2.87
F00140,T003,2024-09-23,1191,3419,2.87
F00141,T003,2023-11-22,998,2864,2.87
F00142,T003,2023-11-03,1543,4429,2.87
F00143,T003,2023-10-31,1517,4353,2.87
F00144,T003,2024-08-18,1048,3008,2.87
F00145,T003,2024-08-11,1029,2952,2.87
F00146,T003,2024-08-14,725,2080,2.87
F00147,T003,2022-12-31,879,2524,2.87
F00148,T003,2023-01-05,914,2622,2.87
F00149,T003,2023-01-22,948,2720,2.87
F00150,T003,2023-02-01,1208,3467,2.87
F00151,T003,2023-02-24,1506,4322,2.87
F00152,T003,2023-02-17,1803,5176,2.87
F00153,T004,2024-05-11,1830,6020,3.29
F00154,T004,2024-05-25,2029,6677,3.29
F00155,T004,2024-05-21,1680,5528,3.29
F00156,T004,2023-03-26,1203,3958,3.29
F00157,T004,2023-03-22,1575,5182,3.29
F00158,T004,2023-03-27,1278,4203,3.29
F00159,T004,2024-08-08,1525,5018,3.29
F00160,T004,2024-08-23,1243,4091,3.29
F00161,T004,2024-08-17,1227,4036,3.29
F00162,T004,2024-08-25,1293,4255,3.29
F00163,T004,2024-06-16,2007,6604,3.29
F00164,T004,2024-06-11,1713,5636,3.29
F00165,T004,2024-06-09,1626,5351,3.29
F00166,T004,2023-12-01,1878,6180,3.29
F00167,T004,2023-12-02,2055,6762,3.29
F00168,T004,2023-12-02,1680,5526,3.29
F00169,T004,2023-11-30,2055,6762,3.29
F00170,T004,2024-01-04,1716,5645,3.29
F00171,T004,2024-01-06,1861,6124,3.29
F00172,T004,2024-01-04,1732,5698,3.29
F00173,T004,2024-01-18,1699,5591,3.29
F00174,T004,2023-04-02,2060,6777,3.29
F00175,T004,2023-04-11,2375,7814,3.29
F00176,T004,2023-04-24,1781,5861,3.29
F00177,T004,2023-04-21,1429,4701,3.29
F00178,T004,2024-11-18,1230,4047,3.29
F00179,T004,2024-11-18,1555,5115,3.29
F00180,T004,2024-11-10,1947,6407,3.29
F00181,T004,2024-11-01,1435,4721,3.29
F00182,T004,2024-11-24,1623,5340,3.29
F00183,T004,2024-09-21,2375,7815,3.29
F00184,T004,2024-09-08,1942,6389,3.29
